ID,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,level,Class
22652,0,tcp,smtp,SF,1093,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,162,180,0.72,0.02,0.01,0.01,0,0,0,0,21,0
22457,0,tcp,http,SF,283,25262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,1,0,0.25,7,255,1,0,0.14,0.02,0,0,0,0,21,0
17066,0,tcp,http,SF,204,1368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,6,255,1,0,0.17,0.02,0,0,0,0,21,0
14179,0,udp,domain_u,SF,43,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,145,0,0,0,0,1,0,0.01,255,254,1,0.01,0,0,0,0,0,0,18,0
727,0,tcp,http,SF,210,566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,15,255,1,0,0.07,0.01,0,0,0,0,21,0
3667,0,tcp,http,SF,223,2137,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,23,0,0,0.06,0.04,1,0,0.09,51,255,1,0,0.02,0.01,0,0,0.02,0,21,0
14683,0,tcp,http,SF,286,296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
15416,2,tcp,ftp_data,SF,383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,3,0.01,0.53,0.01,0,0,0,0,0,20,0
11756,0,tcp,http,SF,247,298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,36,255,1,0,0.03,0.07,0,0,0,0,21,0
18987,0,tcp,http,SF,219,442,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,11,255,1,0,0.09,0.04,0,0,0,0,21,0
22416,0,tcp,http,SF,220,434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,1,0,0.24,255,255,1,0,0,0,0,0,0,0,21,0
6128,0,tcp,http,SF,218,8903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,176,255,1,0,0.01,0.03,0.01,0.01,0,0,21,0
7538,0,icmp,urp_i,SF,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0.36,0.18,0,255,30,0.12,0.01,0.12,0,0,0,0,0,18,0
19851,0,tcp,ftp_data,SF,373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,1,0,0.27,42,75,0.33,0.1,0.33,0.03,0,0,0,0,21,0
8286,8,tcp,smtp,SF,641,330,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,10,38,1,0,0.1,0.05,0,0,0,0,20,0
13343,0,tcp,ftp_data,SF,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,104,31,0.3,0.68,0.29,0,0,0,0.64,0.03,21,0
20714,0,udp,other,SF,516,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,399,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,17,0
22507,0,tcp,http,SF,285,404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,26,255,1,0,0.04,0.04,0,0,0,0,21,0
12510,0,tcp,http,SF,209,788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
14071,0,tcp,http,SF,203,23239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,12,255,1,0,0.08,0.03,0,0,0,0,21,0
19196,0,tcp,http,SF,295,11111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,1,0,0.17,255,255,1,0,0,0,0.01,0.01,0,0,21,0
18775,0,tcp,http,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,32,232,1,0,0.03,0.17,0.03,0,0.97,0.91,17,0
20938,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,10,250,1,0,0.1,0.29,0,0,1,1,21,0
2830,0,tcp,http,SF,214,5320,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
19672,14,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,89,83,0.93,0.03,0.03,0,0,0,0,0,21,0
3286,0,tcp,http,SF,322,269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,1,0,0.1,255,246,0.96,0.01,0,0,0,0,0,0,21,0
15619,0,tcp,smtp,SF,638,337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,188,193,0.83,0.06,0.01,0.01,0.02,0.02,0,0,21,0
22812,0,tcp,smtp,SF,2671,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,169,1,0,1,0.01,0,0,0,0,21,0
8392,0,tcp,http,SF,234,3918,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,94,255,1,0,0.01,0.04,0,0,0,0,21,0
17080,0,udp,private,SF,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,3,3,1,0,0.67,0,0,0,0,0,14,0
17230,871,udp,other,SF,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,3,0.01,0.65,0.97,0,0,0,0,0,21,0
3826,0,tcp,http,SF,213,1615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,1,0,0.36,5,255,1,0,0.2,0.02,0,0,0,0,21,0
17606,0,udp,domain_u,SF,45,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,18,0
6877,0,tcp,smtp,SF,2256,497,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,249,39,0.14,0.02,0,0.05,0,0,0.83,0,18,0
10159,0,tcp,http,SF,334,634,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,13,255,1,0,0.08,0.02,0,0,0,0.01,21,0
16158,0,tcp,http,SF,353,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.67,29,255,1,0,0.03,0.02,0.03,0,0,0,21,0
2546,0,tcp,http,SF,337,280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,24,0,0,0,0.04,1,0,0.08,118,109,0.92,0.02,0.01,0,0.01,0.01,0,0,21,0
4589,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,62,58,0.94,0.03,0.02,0,0,0,0,0,21,0
8244,0,tcp,http,SF,318,1342,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
2874,0,tcp,ftp_data,SF,501760,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,35,87,0.49,0.09,0.49,0.02,0,0,0,0,20,0
16326,0,icmp,red_i,SF,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,126,1,0.01,0.02,0.01,0,0,0,0.11,0,20,0
1813,0,tcp,http,SF,305,8181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,29,0,0,0,0,1,0,0.1,110,255,1,0,0.01,0.01,0,0,0,0,21,0
1345,0,tcp,http,SF,211,564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,33,0,0,0,0,1,0,0.12,255,255,1,0,0,0,0,0,0,0,21,0
20082,0,tcp,smtp,SF,2491,489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,123,0.48,0.01,0,0,0.64,0.67,0,0,14,0
9835,0,udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0.25,0.5,0,255,247,0.97,0.01,0.01,0,0,0,0,0,18,0
22616,0,tcp,http,SF,397,788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0.11,11,255,1,0,0.09,0.06,0,0,0,0,21,0
9951,0,tcp,ftp_data,SF,373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,33,66,0.21,0.09,0.21,0.03,0,0.02,0,0,21,0
1911,0,tcp,ftp_data,SF,854,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.67,8,54,1,0,1,0.04,0,0,0,0,14,0
1087,0,tcp,http,SF,305,502,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0.67,13,255,1,0,0.08,0.04,0,0,0,0.01,21,0
10181,1,tcp,smtp,SF,1561,330,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,166,118,0.71,0.03,0.01,0,0,0,0.03,0.03,21,0
8319,0,tcp,http,SF,325,6665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.2,0.2,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,20,0
12295,0,tcp,http,SF,229,12598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,6,255,1,0,0.17,0.04,0,0.01,0,0,21,0
12591,0,tcp,http,SF,189,314,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,34,0,0,0,0,1,0,0.06,154,255,1,0,0.01,0.02,0,0,0,0,21,0
22789,0,tcp,http,SF,297,2914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
5029,0,tcp,other,SF,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0.06,0,0,0,0.06,0.41,0,86,1,0.01,0.1,0.27,0,0.01,0,0,0,20,0
9433,0,tcp,http,SF,229,1483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,31,0,0,0,0,1,0,0.06,255,255,1,0,0,0,0,0,0,0,21,0
844,0,tcp,http,SF,295,559,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,1,0,0.15,177,255,1,0,0.01,0.01,0,0,0,0,21,0
8538,0,tcp,http,SF,187,590,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,1,0,0.08,51,255,1,0,0.02,0.04,0,0,0,0,21,0
22704,0,tcp,http,SF,310,13125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,17,255,1,0,0.06,0.04,0,0,0,0,21,0
12708,5,tcp,ftp,RSTO,180,828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0.5,1,0.5,1,0,20,4,0.2,0.2,0.05,0,0,0,0.05,0.25,14,0
12788,0,tcp,http,SF,215,1722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
17320,4,tcp,smtp,SF,966,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,20,19,0.95,0.1,0.05,0,0,0,0,0,21,0
3392,0,tcp,http,SF,331,946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,132,255,1,0,0.01,0.04,0,0,0,0,21,0
1797,0,tcp,http,SF,301,2698,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,1,0,0,255,240,0.94,0.01,0,0,0,0,0,0,21,0
6319,0,udp,domain_u,SF,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,200,0,0,0,0,1,0.01,0,255,254,1,0.01,0.01,0,0,0,0,0,18,0
12458,0,tcp,http,SF,324,1875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,166,255,1,0,0.01,0.02,0.01,0,0,0,21,0
300,1,tcp,smtp,SF,2850,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,23,22,0.96,0.09,0.04,0,0,0,0,0,21,0
11144,4,tcp,smtp,SF,1116,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,105,63,0.6,0.05,0.01,0,0.01,0.02,0,0,21,0
21734,0,tcp,http,SF,216,16904,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,1,0,0.11,255,255,1,0,0,0,0,0,0,0,21,0
22934,0,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0.2,0.4,0,255,231,0.91,0.01,0.01,0,0,0,0,0,18,0
3071,0,tcp,ftp_data,SF,373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0.5,255,90,0.35,0.02,0.35,0,0,0,0.03,0,18,0
2144,5,udp,private,SF,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,213,0.84,0.01,0.01,0,0,0,0,0,21,0
19310,0,tcp,http,SF,224,449,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,11,0.1,0.09,0,0,1,0,0.18,39,255,1,0,0.03,0.04,0.03,0,0,0,21,0
9019,0,tcp,http,SF,212,728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,1,0,0.36,255,255,1,0,0,0,0,0,0,0,21,0
22435,0,tcp,http,SF,312,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,1,0,0,63,255,1,0,0.02,0.01,0,0,0,0,21,0
10826,1,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.67,0.67,0,255,245,0.96,0.01,0.02,0,0,0,0,0,20,0
11610,0,tcp,http,SF,309,398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
4906,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,5,251,1,0,0.2,0.2,0,0,1,0.97,21,0
3273,0,tcp,http,SF,312,487,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0,0,1,0,0.1,255,255,1,0,0,0,0,0,0,0,21,0
15604,20252,tcp,telnet,RSTO,737,112155,0,0,0,0,0,1,457,1,2,508,0,0,2,0,0,0,1,1,0,0,1,1,1,0,0,54,14,0.26,0.11,0.02,0,0.02,0.07,0.04,0.14,17,0
6383,0,tcp,http,SF,304,1412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,1,0,0,96,255,1,0,0.01,0.04,0,0,0,0,21,0
4287,0,tcp,http,SF,213,1116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,60,0,0,0,0,1,0,0.07,255,255,1,0,0,0,0,0,0,0,21,0
9110,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,9,255,1,0,0.11,0.33,0,0,1,0.99,21,0
18417,0,tcp,http,SF,220,1032,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,76,0,0,0,0,1,0,0.07,151,255,1,0,0.01,0.01,0,0,0,0,21,0
5126,0,udp,domain_u,SF,44,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,0,0,0,0,1,0,0.02,255,254,1,0.01,0,0,0,0,0,0,21,0
18725,0,tcp,http,SF,261,392,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,44,0,0,0,0,1,0,0.05,255,255,1,0,0,0,0,0,0,0,21,0
21624,0,tcp,http,SF,202,674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,92,255,1,0,0.01,0.03,0,0,0,0,21,0
15955,0,tcp,http,SF,297,1468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0,0,1,0,0.06,255,255,1,0,0,0,0,0,0,0,21,0
5814,0,tcp,http,SF,241,39228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,27,255,1,0,0.04,0.02,0,0,0,0,21,0
10445,0,udp,domain_u,SF,45,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,280,0,0,0,0,1,0.01,0,246,211,0.86,0.01,0,0,0,0,0,0,18,0
22472,4852,udp,other,SF,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,9,2,0.22,0.67,1,0,0,0,0,0,21,0
17739,0,tcp,http,SF,230,9532,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,169,255,1,0,0.01,0.01,0,0,0,0,21,0
4918,0,udp,domain_u,SF,44,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,317,0,0,0,0,1,0.01,0.01,255,247,0.97,0.01,0,0,0,0,0,0,18,0
14954,28,udp,domain_u,SF,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0.2,0.4,0.4,21,20,0.95,0.1,0.05,0,0,0,0,0,20,0
14025,0,tcp,smtp,SF,749,338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,3,129,1,0,0.33,0.02,0,0,0,0,21,0
8424,0,icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,227,227,1,0,1,0,0,0,0,0,20,0
18056,0,tcp,http,SF,229,1425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,0,109,241,1,0,0.01,0.01,0,0,0,0,21,0
5923,0,tcp,http,SF,250,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,7,255,1,0,0.14,0.04,0,0,0,0,21,0
5688,36,tcp,ftp,SF,1006,3081,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,14,1,0.07,0.14,0.07,0,0,0,0,0,20,0
9925,0,tcp,http,SF,364,3798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,254,255,1,0,0,0.01,0,0,0,0,21,0
14503,0,tcp,smtp,SF,2381,279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,143,190,0.76,0.03,0.01,0.01,0,0,0,0,21,0
9364,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0,1,0,0.25,250,248,0.99,0.01,0,0,0,0,0,0,21,0
4681,29,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0.5,255,240,0.94,0.02,0.06,0,0,0,0,0,20,0
3244,0,tcp,http,SF,245,406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,50,0,0,0,0,1,0,0.04,255,255,1,0,0,0,0,0,0.06,0.06,21,0
6834,0,tcp,http,SF,258,1955,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,1,0,0.12,120,215,1,0,0.01,0.03,0,0,0,0,21,0
17786,0,tcp,http,SF,204,269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0.5,146,255,1,0,0.01,0.02,0,0,0,0,21,0
3020,0,tcp,http,SF,216,1735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,93,255,1,0,0.01,0.01,0,0,0,0,21,0
9340,0,udp,domain_u,SF,45,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,0,0,0,0,1,0,0.05,255,255,1,0,0,0,0,0,0,0,21,0
12107,0,tcp,ftp_data,SF,852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,249,86,0.35,0.01,0.35,0,0,0,0,0,21,0
21357,0,tcp,http,SF,199,420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,32,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0,21,0
4097,0,udp,domain_u,SF,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,255,234,0.92,0.01,0,0,0,0,0,0,21,0
22700,0,tcp,http,SF,312,1227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,21,21,1,0,0.05,0,0,0,0,0,21,0
20898,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,1,0,0.2,255,243,0.95,0.01,0,0,0,0,0,0,21,0
10422,0,tcp,http,SF,346,1182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,45,255,1,0,0.02,0.04,0,0,0,0,21,0
2302,0,tcp,http,SF,253,1396,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,1,0,0.2,255,255,1,0,0,0,0,0,0,0,21,0
6002,0,tcp,http,SF,223,976,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21,0
